id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
16285,2004-01-29,k návrhu úplatného převodu pozemku parc. č. 2910/143 k.ú. Nusle o výměře 147 m2 z vlastnictví HMP (F),14/22,758,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16285,14,pass,55,1,2,70,58
16286,2004-01-29,k návrhu na úplatný převod pozemku parc.č. 432/11 v kat. území Štěrboholy o výměře 11 m2 z vlastnict (F),14/23,736,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16286,14,pass,56,0,3,70,59
16287,2004-01-29,k návrhu na úplatný převod pozemku parc. č. 505/2 o výměře 23 m2 v kat. území Kobylisy z vlastnictví (F),14/24,719,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16287,14,pass,58,1,2,70,61
16288,2004-01-29,k návrhu na úplatný převod pozemku parc. č. 320/187 o výměře 13 m2 v kat. území Miškovice z vlastnic (F),14/25,762,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16288,14,pass,57,0,2,70,59
16289,2004-01-29,k návrhu na schválení úplatného převodu pozemku parc. č. 4857/4 v k.ú. Smíchov o výměře 45 m2 z vlas (F),14/26,763,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16289,14,pass,58,0,3,70,61
16290,2004-01-29,k návrhu na úplatný převod pozemku parc. č. 35/3 v k.ú. Vyšehrad o výměře 84 m2 z vlastnictví HMP do (F),14/27,768,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16290,14,pass,56,1,4,70,61
16291,2004-01-29,k návrhu na úplatný převod části pozemku parc. č. 850/1 o výměře 34 m2 v kat. území Bohnice z vlastn (F),14/28,697,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16291,14,pass,55,1,4,70,60
16292,2004-01-29,k návrhu na úplatný převod části pozemku parc.č. 2838/36 v kat. území Strašnice o výměře 38 m2 z vla (F),14/29,757,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16292,14,pass,59,1,2,70,62
16293,2004-01-29,"k návrhu úplatného převodu částí pozemků parc. č. 1925/1, 1965/1 a 1965/5, vše v k.ú. Vysočany o (F)",14/30,775,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16293,14,pass,58,1,3,70,62
16294,2004-01-29,k návrhu úplatného převodu části pozemků parc. č. 677 a parc. č. 678 v k. ú. Vinoř z vlastnictví hl. (F),14/31,776,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=16294,14,pass,54,0,4,70,58
