id,name,group_id,election_type,state,district,cabecera,curul
60-422,Orihuela Bárcenas José Ascención,pri,Representación proporcional,Michoacán,5,,K-399
60-415,Estrada González Faustino Javier,pvem,Representación proporcional,Morelos,4,,H-263
60-414,González Zarur Mariano,pri,Representación proporcional,Tlaxcala,4,,I-308
60-417,Ochoa González Arnoldo,pri,Representación proporcional,Colima,5,,J-354
60-351,Ávila Mayo Obdulio,pan,Representación proporcional,Distrito Federal,4,,A-010
60-411,Sánchez Hernández Eduardo,pri,Representación proporcional,Distrito Federal,4,,H-269
60-410,González Martínez Jorge Emilio,pvem,Representación proporcional,Distrito Federal,4,,I-306
60-413,Cervantes Andrade Raúl,pri,Representación proporcional,Distrito Federal,4,,J-352
60-412,Lavara Mejía Gloria,pvem,Representación proporcional,Distrito Federal,4,,I-307
60-329,Ortega Martínez Ma. del Pilar,pan,Representación proporcional,Guanajuato,2,,E-124
60-330,López Cisneros José Martín,pan,Representación proporcional,Nuevo León,2,,K-375
60-5,Manuell-Gómez Angulo Dolores De María,pan,Mayoría Relativa,Baja California,2,Mexicali,A-004
60-328,Borrego Estrada Felipe,pan,Representación proporcional,Zacatecas,2,,E-119
60-52,Guerra Ochoa Juan Nicasio,prd,Mayoría Relativa,Distrito Federal,7,Gustavo A. Madero,H-280
