vote_event_id,voter_id,option,group_id
51-692.TX,51-278,absent,ppb
51-692.TX,51-249,absent,pmdb
51-692.TX,51-246,absent,pmdb
51-692.TX,51-50,absent,pmdb
51-692.TX,51-81,absent,pfl
51-692.TX,51-456,absent,pmdb
51-692.TX,51-504,absent,pmdb
51-692.TX,51-318,absent,psb
51-692.TX,51-122,absent,ptb
51-692.TX,51-381,absent,ptb
51-692.TX,51-126,absent,pfl
51-692.TX,51-28,absent,psdb
51-692.TX,51-211,absent,psdb
51-692.TX,51-46,absent,ptb
51-692.TX,51-616,absent,pmdb
51-692.TX,51-154,absent,pfl
51-692.TX,51-65,absent,pmdb
51-692.TX,51-530,absent,ptb
51-692.TX,51-118,absent,pfl
51-692.TX,51-383,absent,pmdb
51-692.TX,51-30,absent,pt
51-692.TX,51-425,absent,psdb
51-692.TX,51-428,absent,pmdb
51-692.TX,51-466,absent,pfl
51-692.TX,51-537,absent,pfl
51-692.TX,51-83,absent,pl
51-692.TX,51-7,absent,pl
51-692.TX,51-508,absent,phs
51-692.TX,51-427,absent,ppb
51-692.TX,51-158,absent,pmdb
51-692.TX,51-8,absent,pfl
51-692.TX,51-58,absent,psdb
51-692.TX,51-51,absent,psdb
51-692.TX,51-180,absent,ptb
51-692.TX,51-599,absent,pcdob
51-692.TX,51-270,absent,pt
51-692.TX,51-271,absent,psdb
51-692.TX,51-414,absent,ppb
51-692.TX,51-138,absent,pfl
51-692.TX,51-431,absent,pmdb
51-692.TX,51-59,absent,ptb
51-693.TX,51-440,yes,pfl
51-693.TX,51-127,yes,pfl
51-693.TX,51-88,yes,psdb
51-693.TX,51-221,article 17,psdb
51-693.TX,51-441,yes,psdb
51-693.TX,51-44,no,pps
51-693.TX,51-407,no,pcdob
51-693.TX,51-2,yes,pps
51-693.TX,51-488,no,pdt
51-693.TX,51-442,yes,ptb
51-693.TX,51-68,yes,pmdb
51-693.TX,51-545,yes,pmdb
51-693.TX,51-330,yes,psdb
51-693.TX,51-1,yes,pl
51-693.TX,51-487,no,pdt
51-693.TX,51-283,yes,pfl
51-693.TX,51-579,no,pcdob
51-693.TX,51-331,no,pcdob
51-693.TX,51-445,yes,psdb
51-693.TX,51-285,yes,psdb
51-693.TX,51-89,no,pl
51-693.TX,51-6,yes,ppb
51-693.TX,51-332,yes,pt
51-693.TX,51-119,yes,pmdb
51-693.TX,51-601,yes,pt
51-693.TX,51-339,yes,psdb
51-693.TX,51-340,yes,pt
51-693.TX,51-87,yes,pmdb
51-693.TX,51-475,yes,pfl
51-693.TX,51-334,yes,psdb
51-693.TX,51-222,yes,pmdb
